Company,Symbol,Current Price,Market Cap,Dividend,Yield,52-Week Return
Jacobs Engineering Group,JEC,57.61,$7B,0.6,1.04%,1.10%
Goldman Sachs Group,GS,250.38,$99.6B,2.6,1.04%,4.60%
Costco Co.,COST,175.86,$77.2B,1.8,1.02%,9.80%
Agilent Technologies Inc,A,51.63,$16.6B,0.53,1.02%,13.30%
Constellation Brands,STZ,161.32,$31.6B,1.6,0.99%,5.20%
Leucadia National Corp.,LUK,25.56,$9.2B,0.25,0.98%,9.90%
Amphenol Corp,APH,69.46,$21.4B,0.64,0.92%,3.40%
J. B. Hunt Transport Services,JBHT,101.04,$11.2B,0.92,0.91%,4.10%
Alliance Data Systems,ADS,235.04,$13.6B,2.08,0.88%,2.90%
Expedia Inc.,EXPE,119.41,$17.9B,1.04,0.87%,5.40%
Allegion,ALLE,73.27,$7B,0.64,0.87%,14.50%
American Airlines Group,AAL,46.91,$24.3B,0.4,0.85%,0.50%
Vulcan Materials,VMC,119.33,$15.8B,1,0.84%,-4.70%
Comcast A Corp,CMCSA,75.32,$178.9B,0.63,0.84%,9.10%
