Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
NATI,National Instruments Corporation,32.07,0.84,2.6316,2/9/17,3/6/17
NATR,Nature's Sunshine Products Inc.,12,0.4,3.3755,11/21/16,12/5/16
NAUH,National American University Holdings Inc.,2.49,0.18,7.2522,12/28/16,1/13/17
NAVG,The Navigators Group Inc.,55.85,0.18,0.3155,11/16/16,12/29/16
NAVI,Navient Corporation,15.45,0.64,4.1317,11/30/16,12/16/16
NBN,Northeast Bancorp,13.85,0.04,0.2899,2/13/17,2/28/17
NBTB,NBT Bancorp Inc.,41.37,0.92,2.2201,11/29/16,12/15/16
NCMI,National CineMedia Inc.,12.68,0.88,6.8589,11/16/16,12/2/16
NDAQ,Nasdaq Inc.,71.51,1.28,1.7942,12/14/16,12/30/16
NDSN,Nordson Corporation,119.95,1.08,0.9062,2/16/17,3/7/17
NEWT,Newtek Business Services Corp.,16.2,1.6,9.9317,12/13/16,12/30/16
NFBK,Northfield Bancorp Inc.,18.35,0.32,1.7525,2/6/17,2/22/17
NGHC,National General Holdings Corp,25.28,0.16,0.6352,12/29/16,1/17/17
NKSH,National Bankshares Inc.,40.35,1.22,3.0123,11/17/16,12/1/16
NNBR,NN Inc.,20,0.28,1.3965,2/15/17,3/3/17
NRCIA,National Research Corporation,17.5,0.4,2.3188,12/28/16,1/13/17
NRCIB,National Research Corporation,39.88,2.4,5.9687,12/28/16,1/13/17
NRIM,Northrim BanCorp Inc,30.25,0.8,2.6936,12/6/16,12/16/16
NSEC,National Security Group Inc.,16.4492,0.2,1.2539,2/2/17,2/28/17
NTAP,NetApp Inc.,40.17,0.76,1.8738,1/4/17,1/25/17
NTRI,NutriSystem Inc,36.45,0.7,1.9553,11/3/16,11/17/16
NTRS,Northern Trust Corporation,87.2,1.52,1.7403,11/30/16,1/1/17
NUTR,Nutraceutical International Corporation,34.9,0.5,1.4577,12/16/16,1/5/17
NVDA,NVIDIA Corporation,107.23,0.56,0.5221,11/23/16,12/19/16
NVEC,NVE Corporation,74.95,4,5.3583,1/26/17,2/28/17
NWBI,Northwest Bancshares Inc.,17.96,0.64,3.5834,1/31/17,2/16/17
NWFL,Norwood Financial Corp.,39,1.28,3.2487,1/11/17,2/1/17
NWLI,National Western Life Group Inc.,313.2,0.36,0.1157,11/7/16,12/2/16
NXST,Nexstar Media Group Inc.,67.8,1.2,1.7634,2/8/17,2/24/17
NYMT,New York Mortgage Trust Inc.,6.52,0.96,14.4144,12/22/16,1/26/17
OCFC,OceanFirst Financial Corp.,29.44,0.6,2.0429,2/2/17,2/17/17
ODP,Office Depot Inc.,4.54,0.1,2.2371,11/22/16,12/15/16
OFED,Oconee Federal Financial Corp.,23.25,0.4,1.7204,2/7/17,2/23/17
OFS,OFS Capital Corporation,14.5,1.36,9.3923,12/14/16,12/30/16
OKSB,Southwest Bancorp Inc.,27.9,0.32,1.147,2/1/17,2/17/17
OLBK,Old Line Bancshares Inc.,28.8,0.24,0.8362,12/14/16,12/30/16
OLD,Janus Detroit Street Trust,24.036,1.041436,4.2946,12/23/16,12/30/16
ONB,Old National Bancorp,18.7,0.52,2.7807,11/29/16,12/15/16
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,229.94,2.88,1.2593,12/16/16,12/22/16
OPOF,Old Point Financial Corporation,28.45,0.4,1.406,11/28/16,12/30/16
ORG,Janus Detroit Street Trust,24.6592,0.13032,0.5278,12/23/16,12/30/16
ORIT,Oritani Financial Corp.,17.25,0.7,4.058,2/1/17,2/17/17
ORRF,Orrstown Financial Services Inc,23.2,0.4,1.7354,2/8/17,2/17/17
OSBC,Old Second Bancorp Inc.,10.85,0.04,0.3687,1/25/17,2/6/17
OTEX,Open Text Corporation,33.54,0.46,1.3545,11/30/16,12/22/16
OTTR,Otter Tail Corporation,37.75,1.28,3.364,2/13/17,3/10/17
OVBC,Ohio Valley Banc Corp.,28.3512,0.84,2.9474,1/25/17,2/10/17
OVLY,Oak Valley Bancorp (CA),14.82,0.25,1.6869,1/26/17,2/9/17
OXLC,Oxford Lane Capital Corp.,11.47,2.4,20.7792,12/14/16,12/30/16
OZRK,Bank of the Ozarks,55.11,0.68,1.2243,1/18/17,1/27/17
PAAS,Pan American Silver Corp.,19.34,0.05,0.2554,11/22/16,12/6/16
PACW,PacWest Bancorp,55.58,2,3.5759,2/16/17,2/28/17
PAGG,PowerShares Exchange-Traded Fund Trust II,25.8499,1.026,3.9695,12/16/16,12/30/16
PAHC,Phibro Animal Health Corporation,29.15,0.4,1.3445,11/28/16,12/21/16
PAYX,Paychex Inc.,59.13,1.84,3.093,1/30/17,2/15/17
PBBI,PB Bancorp Inc.,10.85,0.12,1.106,1/13/17,2/1/17
